A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/2/2016 9:00,2016,1,2,9,147,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 10:00,2016,1,2,10,145,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 11:00,2016,1,2,11,137,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 12:00,2016,1,2,12,119,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 13:00,2016,1,2,13,79,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 14:00,2016,1,2,14,78,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 15:00,2016,1,2,15,70,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 16:00,2016,1,2,16,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 17:00,2016,1,2,17,92,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 18:00,2016,1,2,18,88,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 19:00,2016,1,2,19,100,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 20:00,2016,1,2,20,126,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 21:00,2016,1,2,21,111,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 22:00,2016,1,2,22,115,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2016 23:00,2016,1,2,23,116,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 0:00,2016,1,3,0,112,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 1:00,2016,1,3,1,127,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 2:00,2016,1,3,2,134,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 3:00,2016,1,3,3,151,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 4:00,2016,1,3,4,156,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 5:00,2016,1,3,5,153,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 6:00,2016,1,3,6,152,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 7:00,2016,1,3,7,144,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 8:00,2016,1,3,8,144,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 9:00,2016,1,3,9,143,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 10:00,2016,1,3,10,135,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 11:00,2016,1,3,11,139,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 12:00,2016,1,3,12,141,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 13:00,2016,1,3,13,135,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 14:00,2016,1,3,14,127,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 15:00,2016,1,3,15,132,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 16:00,2016,1,3,16,124,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 17:00,2016,1,3,17,118,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 18:00,2016,1,3,18,131,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 19:00,2016,1,3,19,141,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 20:00,2016,1,3,20,167,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 21:00,2016,1,3,21,163,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 22:00,2016,1,3,22,148,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2016 23:00,2016,1,3,23,136,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 0:00,2016,1,4,0,132,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 1:00,2016,1,4,1,131,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 2:00,2016,1,4,2,121,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 3:00,2016,1,4,3,123,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 4:00,2016,1,4,4,114,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 5:00,2016,1,4,5,107,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 6:00,2016,1,4,6,127,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 7:00,2016,1,4,7,136,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 8:00,2016,1,4,8,138,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 9:00,2016,1,4,9,132,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 10:00,2016,1,4,10,113,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 11:00,2016,1,4,11,126,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 12:00,2016,1,4,12,111,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 13:00,2016,1,4,13,118,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 14:00,2016,1,4,14,132,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 15:00,2016,1,4,15,135,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 16:00,2016,1,4,16,147,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 17:00,2016,1,4,17,143,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 18:00,2016,1,4,18,115,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 19:00,2016,1,4,19,108,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 20:00,2016,1,4,20,109,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 21:00,2016,1,4,21,114,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 22:00,2016,1,4,22,95,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2016 23:00,2016,1,4,23,66,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 0:00,2016,1,5,0,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 1:00,2016,1,5,1,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 2:00,2016,1,5,2,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 3:00,2016,1,5,3,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 4:00,2016,1,5,4,23,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 5:00,2016,1,5,5,10,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 6:00,2016,1,5,6,18,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 7:00,2016,1,5,7,23,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 8:00,2016,1,5,8,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 9:00,2016,1,5,9,21,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 10:00,2016,1,5,10,21,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 11:00,2016,1,5,11,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 12:00,2016,1,5,12,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 13:00,2016,1,5,13,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 14:00,2016,1,5,14,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 15:00,2016,1,5,15,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 16:00,2016,1,5,16,22,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 17:00,2016,1,5,17,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 18:00,2016,1,5,18,33,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 19:00,2016,1,5,19,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 20:00,2016,1,5,20,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 21:00,2016,1,5,21,42,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 22:00,2016,1,5,22,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/5/2016 23:00,2016,1,5,23,31,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 0:00,2016,1,6,0,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 1:00,2016,1,6,1,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 2:00,2016,1,6,2,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 3:00,2016,1,6,3,53,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 4:00,2016,1,6,4,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 5:00,2016,1,6,5,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 6:00,2016,1,6,6,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 7:00,2016,1,6,7,46,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 8:00,2016,1,6,8,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 9:00,2016,1,6,9,46,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 10:00,2016,1,6,10,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 11:00,2016,1,6,11,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 12:00,2016,1,6,12,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 13:00,2016,1,6,13,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 14:00,2016,1,6,14,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 15:00,2016,1,6,15,53,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 16:00,2016,1,6,16,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 17:00,2016,1,6,17,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 18:00,2016,1,6,18,67,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 19:00,2016,1,6,19,67,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 20:00,2016,1,6,20,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 21:00,2016,1,6,21,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 22:00,2016,1,6,22,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/6/2016 23:00,2016,1,6,23,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 0:00,2016,1,7,0,53,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 1:00,2016,1,7,1,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 2:00,2016,1,7,2,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 3:00,2016,1,7,3,66,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 4:00,2016,1,7,4,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 5:00,2016,1,7,5,67,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 6:00,2016,1,7,6,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 7:00,2016,1,7,7,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 8:00,2016,1,7,8,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 9:00,2016,1,7,9,80,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 10:00,2016,1,7,10,82,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 11:00,2016,1,7,11,92,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 12:00,2016,1,7,12,98,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 13:00,2016,1,7,13,102,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 14:00,2016,1,7,14,109,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 15:00,2016,1,7,15,111,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 16:00,2016,1,7,16,100,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 17:00,2016,1,7,17,112,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 18:00,2016,1,7,18,101,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 19:00,2016,1,7,19,98,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 20:00,2016,1,7,20,74,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 21:00,2016,1,7,21,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 22:00,2016,1,7,22,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/7/2016 23:00,2016,1,7,23,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 0:00,2016,1,8,0,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 1:00,2016,1,8,1,53,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 2:00,2016,1,8,2,50,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 3:00,2016,1,8,3,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 4:00,2016,1,8,4,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 5:00,2016,1,8,5,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 6:00,2016,1,8,6,46,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 7:00,2016,1,8,7,54,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 8:00,2016,1,8,8,60,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 9:00,2016,1,8,9,52,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 10:00,2016,1,8,10,67,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 11:00,2016,1,8,11,72,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 12:00,2016,1,8,12,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 13:00,2016,1,8,13,66,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 14:00,2016,1,8,14,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 15:00,2016,1,8,15,82,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 16:00,2016,1,8,16,88,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 17:00,2016,1,8,17,91,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 18:00,2016,1,8,18,95,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 19:00,2016,1,8,19,104,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 20:00,2016,1,8,20,105,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 21:00,2016,1,8,21,99,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 22:00,2016,1,8,22,99,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 23:00,2016,1,8,23,96,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 0:00,2016,1,9,0,92,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 1:00,2016,1,9,1,95,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 2:00,2016,1,9,2,99,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 3:00,2016,1,9,3,96,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 4:00,2016,1,9,4,102,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 5:00,2016,1,9,5,105,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 6:00,2016,1,9,6,108,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 7:00,2016,1,9,7,111,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 8:00,2016,1,9,8,113,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 9:00,2016,1,9,9,117,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 10:00,2016,1,9,10,118,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 11:00,2016,1,9,11,130,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 12:00,2016,1,9,12,121,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 13:00,2016,1,9,13,128,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 14:00,2016,1,9,14,124,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 15:00,2016,1,9,15,128,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 16:00,2016,1,9,16,130,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 17:00,2016,1,9,17,138,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 18:00,2016,1,9,18,133,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 19:00,2016,1,9,19,130,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 20:00,2016,1,9,20,121,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 21:00,2016,1,9,21,114,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 22:00,2016,1,9,22,102,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/9/2016 23:00,2016,1,9,23,93,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 0:00,2016,1,10,0,91,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 1:00,2016,1,10,1,74,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 2:00,2016,1,10,2,70,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 3:00,2016,1,10,3,69,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 4:00,2016,1,10,4,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 5:00,2016,1,10,5,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 6:00,2016,1,10,6,72,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 7:00,2016,1,10,7,64,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 8:00,2016,1,10,8,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 9:00,2016,1,10,9,69,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 10:00,2016,1,10,10,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 11:00,2016,1,10,11,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 12:00,2016,1,10,12,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 13:00,2016,1,10,13,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 14:00,2016,1,10,14,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 15:00,2016,1,10,15,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 16:00,2016,1,10,16,52,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 17:00,2016,1,10,17,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 18:00,2016,1,10,18,71,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 19:00,2016,1,10,19,67,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 20:00,2016,1,10,20,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 21:00,2016,1,10,21,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 22:00,2016,1,10,22,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 23:00,2016,1,10,23,54,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 0:00,2016,1,11,0,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 1:00,2016,1,11,1,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 2:00,2016,1,11,2,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 3:00,2016,1,11,3,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 4:00,2016,1,11,4,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 5:00,2016,1,11,5,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 6:00,2016,1,11,6,33,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 7:00,2016,1,11,7,44,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 8:00,2016,1,11,8,56,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 9:00,2016,1,11,9,67,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 10:00,2016,1,11,10,56,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 11:00,2016,1,11,11,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 12:00,2016,1,11,12,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 13:00,2016,1,11,13,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 14:00,2016,1,11,14,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 15:00,2016,1,11,15,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 16:00,2016,1,11,16,44,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 17:00,2016,1,11,17,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 18:00,2016,1,11,18,44,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 19:00,2016,1,11,19,44,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 20:00,2016,1,11,20,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 21:00,2016,1,11,21,31,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 22:00,2016,1,11,22,33,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 23:00,2016,1,11,23,42,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2016 0:00,2016,1,12,0,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2016 1:00,2016,1,12,1,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2016 2:00,2016,1,12,2,28,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2016 3:00,2016,1,12,3,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2016 4:00,2016,1,12,4,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2016 5:00,2016,1,12,5,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2016 6:00,2016,1,12,6,34,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2016 7:00,2016,1,12,7,39,µg/m³,1 Hr,Valid
